          ;        7932;   ;Filtro    ;Inicio                                  ;16102013      ;160959;190.196.157.58 ;OK ;                    ;Inicio de filtrado                                                      
          ;        7932;   ;Filtro    ;tbk_param.txt                           ;16102013      ;160959;190.196.157.58 ;OK ;                    ;Archivo parseado                                                        
          ;        7932;   ;Filtro    ;Terminado                               ;16102013      ;160959;190.196.157.58 ;OK ;                    ;Datos Filtrados con exito                                               
          ;        7932;   ;sanitiza  ;inicio                                  ;16102013      ;160959;190.196.157.58 ;OK ;                    ;Entrando a sanitizacion                                                 
          ;        7932;   ;sanitiza  ;Array                                   ;16102013      ;160959;190.196.157.58 ;OK ;                    ;Arreglo de parametros OK.                                               
          ;        7932;   ;sanitiza  ;Fin                                     ;16102013      ;160959;190.196.157.58 ;Ok ;                    ;Sanitizacion exitosa                                                    
1950599185;        7932;   ;pago      ;inicio                                  ;16102013      ;160959;190.196.157.58 ;OK ;597030639545        ;Parseo realizado                                                        
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;160959;190.196.157.58 ;OK ;597030639545        ;Datos en datos/tbk_config.dat                                           
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;160959;190.196.157.58 ;OK ;597030639545        ;Mac generado                                                            
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;160959;190.196.157.58 ;OK ;597030639545        ;Construccion TBK_PARAM                                                  
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;160959;190.196.157.58 ;OK ;597030639545        ;TBK_PARAM encriptado                                                    
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;160959;190.196.157.58 ;OK ;597030639545        ;Datos listos para ser enviados                                          
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;160959;190.196.157.58 ;OK ;597030639545        ;Medio 1: Transaccion segura                                             
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;161004;190.196.157.58 ;OK ;597030639545        ;Datos validados                                                         
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;161004;190.196.157.58 ;OK ;597030639545        ;Token=eced208c69bb4c351540ab8ad25ff705b9e6419351f60e8fe04a10036ff779d9  
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;161004;190.196.157.58 ;OK ;597030639545        ;Redireccion web                                                         
1950599185;        7932;   ;pago      ;https://webpay.transbank.cl             ;16102013      ;161004;190.196.157.58 ;OK ;597030639545        ;Todo OK                                                                 
          ;        5908;   ;resultado ;Desencriptando                          ;16102013      ;161049;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        5908;   ;resultado ;Validacion                              ;16102013      ;161049;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        5908;   ;resultado ;20131016070958                          ;16102013      ;161049;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;        5908;   ;resultado ;20131016070958                          ;16102013      ;161049;200.10.14.34   ;OK ;                    ;http://www.rutamaule.cl/tsc/app/KCC/xt_compra.php                       
1950599185;        5908;   ;transacc  ;1950599185                              ;16102013      ;161049;200.10.14.34   ;OK ;597030639545        ;conectandose al port :(80)                                              
1950599185;        5908;   ;resultado ;logro abrir_conexion                    ;16102013      ;161049;200.10.14.34   ; 0 ;597030639545        ;Abrio socket para conex-com                                             
1950599185;        5908;   ;transacc  ;1950599185                              ;16102013      ;161049;200.10.14.34   ;OK ;597030639545        ;POST a url http://www.rutamaule.cl/tsc/app/KCC/xt_compra.php            
1950599185;        5908;   ;transacc  ;1950599185                              ;16102013      ;161049;200.10.14.34   ;OK ;597030639545        ;mensaje enviado                                                         
          ;        7936;   ;check_mac ;                                        ;16102013      ;161050;EMPTY          ;OK ;                    ;Todo OK                                                                 
1950599185;        5908;   ;transacc  ;1950599185                              ;16102013      ;161050;200.10.14.34   ;OK ;597030639545        ;Llego ACK del Comercio                                                  
1950599185;        5908;   ;resultado ;20131016070958                          ;16102013      ;161050;200.10.14.34   ;OK ;597030639545        ;tienda acepto transaccion                                               
1950599185;        5908;   ;resultado ;20131016070958                          ;16102013      ;161050;200.10.14.34   ;OK ;597030639545        ;respuesta enviada a TBK (ACK)                                           
1950599185;        5908;   ;resultado ;20131016070958                          ;16102013      ;161050;200.10.14.34   ;OK ;597030639545        ;Todo OK                                                                 
