          ;        8772;   ;Filtro    ;Inicio                                  ;14102013      ;151556;190.196.157.58 ;OK ;                    ;Inicio de filtrado                                                      
          ;        7912;   ;sanitiza  ;Fin                                     ;14102013      ;151950;190.196.157.58 ;Ok ;                    ;Sanitizacion exitosa                                                    
1774790437;        7912;   ;pago      ;inicio                                  ;14102013      ;151950;190.196.157.58 ;OK ;597030639545        ;Parseo realizado                                                        
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;151950;190.196.157.58 ;OK ;597030639545        ;Datos en datos/tbk_config.dat                                           
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;151950;190.196.157.58 ;OK ;597030639545        ;Mac generado                                                            
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;151950;190.196.157.58 ;OK ;597030639545        ;Construccion TBK_PARAM                                                  
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;151950;190.196.157.58 ;OK ;597030639545        ;TBK_PARAM encriptado                                                    
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;151950;190.196.157.58 ;OK ;597030639545        ;Datos listos para ser enviados                                          
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;151950;190.196.157.58 ;OK ;597030639545        ;Medio 1: Transaccion segura                                             
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;152000;190.196.157.58 ;OK ;597030639545        ;Datos validados                                                         
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;152000;190.196.157.58 ;OK ;597030639545        ;Token=edb69d7ebeb9fcf7de56596f4c419455d2ad80a7eb9b7ebbf990c916b36fa9a9  
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;152000;190.196.157.58 ;OK ;597030639545        ;Redireccion web                                                         
1774790437;        7912;   ;pago      ;https://webpay.transbank.cl             ;14102013      ;152000;190.196.157.58 ;OK ;597030639545        ;Todo OK                                                                 
          ;        4056;   ;resultado ;Desencriptando                          ;14102013      ;152059;200.10.14.34   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        4056;   ;resultado ;Validacion                              ;14102013      ;152059;200.10.14.34   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        4056;   ;resultado ;20131014061950                          ;14102013      ;152059;200.10.14.34   ;OK ;                    ;Parseo de los datos                                                     
          ;        4056;   ;resultado ;20131014061950                          ;14102013      ;152059;200.10.14.34   ;OK ;                    ;http://www.rutamaule.cl/tsc/app/KCC/xt_compra.php                       
1774790437;        4056;   ;transacc  ;1774790437                              ;14102013      ;152059;200.10.14.34   ;OK ;597030639545        ;conectandose al port :(80)                                              
1774790437;        4056;   ;resultado ;logro abrir_conexion                    ;14102013      ;152059;200.10.14.34   ; 0 ;597030639545        ;Abrio socket para conex-com                                             
1774790437;        4056;   ;transacc  ;1774790437                              ;14102013      ;152059;200.10.14.34   ;OK ;597030639545        ;POST a url http://www.rutamaule.cl/tsc/app/KCC/xt_compra.php            
1774790437;        4056;   ;transacc  ;1774790437                              ;14102013      ;152059;200.10.14.34   ;OK ;597030639545        ;mensaje enviado                                                         
          ;        7248;   ;check_mac ;                                        ;14102013      ;152100;EMPTY          ;OK ;                    ;Todo OK                                                                 
1774790437;        4056;   ;transacc  ;1774790437                              ;14102013      ;152100;200.10.14.34   ;OK ;597030639545        ;Llego ACK del Comercio                                                  
1774790437;        4056;   ;resultado ;20131014061950                          ;14102013      ;152100;200.10.14.34   ;OK ;597030639545        ;tienda acepto transaccion                                               
1774790437;        4056;   ;resultado ;20131014061950                          ;14102013      ;152100;200.10.14.34   ;OK ;597030639545        ;respuesta enviada a TBK (ACK)                                           
1774790437;        4056;   ;resultado ;20131014061950                          ;14102013      ;152100;200.10.14.34   ;OK ;597030639545        ;Todo OK                                                                 
